id,name
1,"Suffolk County Sheriff's Department, Suffolk County, MA"
2,"Traffic, Parking & Transportation, Cambridge, MA"
3,"Office of Michael P. Ross, Boston, MA"
6,"Central Intelligence Agency, United States of America"
7,"Department of Defense, Office of the Secretary of Defense, United States of America"
8,"Department of Homeland Security, Office of Intelligence & Analysis, United States of America"
9,"Department of Homeland Security, United States of America"
10,"Federal Bureau of Investigation, United States of America"
11,"Mayor's Office, Boston, MA"
12,"Executive Office for United States Attorneys, United States of America"
14,"U.S. Department of State, United States of America"
15,"Department of Energy, United States of America"
17,"National Security Agency, United States of America"
18,"Department of Transitional Assistance, Massachusetts"
19,"Department of Public Works, Somerville, MA"
20,"George Bush Presidential Library, United States of America"
21,"William J. Clinton Presidential Library, United States of America"
22,"Ronald Reagan Presidential Library, United States of America"
23,"United States Central Command - CENTCOM, United States of America"
24,"Defense Intelligence Agency, United States of America"
25,"Army - United States Department of the Army, United States of America"
26,"Office of Consumer Affairs and Business Regulation, Massachusetts"
27,"Marines - United States Marine Corps, USMC, United States of America"
28,"Cambridge Animal Commission, Cambridge, MA"
29,"Boston Assessing Department, Boston, MA"
30,"Election Department, Somerville, MA"
31,"Department of Education, Massachusetts"
32,"United States Postal Service, United States of America"
33,"General Services Administration, United States of America"
34,"Traffic and Parking, Somerville, MA"
35,"Nixon Presidential Library & Museum, United States of America"
36,"Lyndon Baines Johnson Library & Museum, United States of America"
37,"John F. Kennedy Presidential Library & Museum, United States of America"
38,"United States Customs and Border Protection, United States of America"
39,"Transportation Security Administration, United States of America"
41,"Bureau of Prisons, United States of America"
42,"Somerville Police Department, Somerville, MA"
43,"Information Technology, Somerville, MA"
44,"U.S. Department of Education, United States of America"
46,"Federal Communications Commission, United States of America"
47,"Office of Government Ethics, United States of America"
48,"Census Bureau, Data Preparation Division, United States of America"
49,"Department of Justice, United States Marshals, United States of America"
53,"Smithsonian Institution Office of Inspector General, United States of America"
54,"Department of Homeland Security, Under Secretary for National Protection and Programs, United States of America"
57,"Office of the Director of National Intelligence, United States of America"
58,"United States Agency for International Development, United States of America"
59,"Department of Justice, Office of Information Policy, United States of America"
60,"Department of Agriculture, United States of America"
61,"US Trade Representative, United States of America"
62,"Department of Transportation, United States of America"
63,"Department of Labor, United States of America"
64,"Department of the Interior, United States of America"
65,"Department of Commerce, United States of America"
66,"Federal Trade Commission, United States of America"
67,"Department of Transportation, Office of the Inspector General, United States of America"
68,"Federal Aviation Administration, United States of America"
69,"U.S. Office of Management and Budget, United States of America"
70,"National Park Service, United States of America"
71,"United States Secret Service, United States of America"
73,"Massachusetts State Lottery, Massachusetts"
74,"Department of Health and Human Services, United States of America"
75,"Environmental Protection Agency, United States of America"
78,"United States Army Audit Agency, United States of America"
79,"National Institute of Standards and Technology, United States of America"
80,"Department of Housing and Urban Development, United States of America"
81,"Office of Ayanna Pressley, Boston, MA"
82,"Suffolk County District Attorney's Office, Suffolk County, MA"
83,"Department of Treasury, United States of America"
85,"Oxford County Sheriff's Office, Maine"
86,"Air Force, United States of America"
88,"Defense Contract Audit Agency, United States of America"
89,"Defense Contract Management Agency, United States of America"
90,"Defense Finance and Accounting Service, United States of America"
91,"Defense Information Systems Agency, United States of America"
92,"Defense Logistics Agency, United States of America"
93,"Defense Security Service, United States of America"
95,"Defense Threat Reduction Agency, United States of America"
96,"Department of Defense, Education Activity, United States of America"
97,"Missile Defense Agency, United States of America"
98,"National Geospatial-Intelligence Agency, United States of America"
99,"National Guard Bureau/JA-FOIA, United States of America"
100,"National Reconnaissance Office, United States of America"
101,"Department of the Navy, Naval Operations, United States of America"
102,"Department of Defense, Office of the Inspector General, United States of America"
103,"TRICARE Management Activity, United States of America"
104,"U.S. Africa Command, United States of America"
105,"U.S. European Command - USEUCOM, United States of America"
106,"USJFCOM, United States of America"
107,"USNORTHCOM - US Northern Command, United States of America"
108,"USPACOM - US Pacific Command, United States of America"
